0	1	8071.31806
1	1	7288.971064
1	2	13135.7229
1	3	14949.8109
2	3	14931.21888
3	3	28667
1	4	24621.129
2	4	2424.91587
3	4	25323.19
1	5	32892.447
2	5	11231.234
3	5	11678.887
4	5	37139
1	6	41875.725
2	6	17592.095
3	6	14086.88044
4	6	18375.034
5	6	47320
1	7	49135
2	7	26073.128
3	7	14907.10463
4	7	15768.998
5	7	27676.553
2	8	31609.683
3	8	20945.805
4	8	4941.672
5	8	22921.569
6	8	35064.269
2	9	40935.826
3	9	24954.905
4	9	11348.451
5	9	12416.486
6	9	28910.971
2	10	49197.147
3	10	33052.628
4	10	12607.487
5	10	12050.611
6	10	15698.673
7	10	38800.027
3	11	40728.259
4	11	20177.169
5	11	8667.708
6	11	10649.397
7	11	24365.644
8	11	47738.913
3	12	49009.577
4	12	25077.761
5	12	13369.398
6	12	0
7	12	17338.068
8	12	32013.335
3	13	56980.895
4	13	33659.08
5	13	16561.948
6	13	3125.00933
7	13	5345.481
8	13	23115.432
9	13	42030
4	14	39954.502
5	14	23663.686
6	14	3019.89328
7	14	2863.41683
8	14	8007.781
9	14	31964.403
4	15	49825.821
5	15	28957.379
6	15	9873.145
7	15	101.43809
8	15	2855.622
9	15	16566.752
10	15	40215.374
4	16	57447.139
5	16	37111.699
6	16	13694.133
7	16	5683.907
8	16	-4737.00217
9	16	10675.182
10	16	23986.775
5	17	43716.322
6	17	21031.88
7	17	7870.079
8	17	-808.76421
9	17	1951.701
10	17	16500.452
11	17	34719.58
5	18	51792.64
6	18	24919.266
7	18	13113.167
8	18	-782.81634
9	18	873.112
10	18	5317.617
11	18	25037.992
5	19	59770.251
6	19	32413.754
7	19	15856.255
8	19	3332.858
9	19	-1487.44512
10	19	1752.054
11	19	12929.384
12	19	31838.394
5	20	69401.569
6	20	37503.567
7	20	21766.498
8	20	3796.172
9	20	-17.463
10	20	-7041.93217
11	20	6850.489
12	20	17477.694
5	21	78382.887
6	21	45643
7	21	25231.915
8	21	8062.034
9	21	-47.605
10	21	-5731.776
11	21	-2184.857
12	21	10903.851
13	21	27090
6	22	53611.203
7	22	31764.805
8	22	9283.032
9	22	2793.376
10	22	-8024.716
11	22	-5181.391
12	22	-399.986
13	22	18201
14	22	33640
6	23	64171
7	23	36720.429
8	23	14621.371
9	23	3285.263
10	23	-5154.045
11	23	-9529.85352
12	23	-5473.675
13	23	6748.071
14	23	23950
7	24	46938
8	24	18500.404
9	24	7544.516
10	24	-5951.642
11	24	-8417.901
12	24	-13933.578
13	24	-48.812
14	24	10745.186
15	24	34020
7	25	55983
8	25	27329.03
