CRDC	Pad#	slope	intercept
1	15	1	0
1	16	1	0
1	17	1	0
1	18	1	0
1	19	1	0
1	20	1	0
1	21	1	0
1	22	1	0
1	23	1	0
1	24	1	0
1	25	1	0
1	26	1	0
1	27	1	0
1	28	1.435	-216.82
1	29	1.2343	-85.368
1	30	1.4498	-245.69
1	31	1	0
1	32	1.1988	-153.29
1	33	1	0
1	34	1	0
1	35	0.3556	519.15
1	36	0.7845	173.54
1	37	1	0
1	38	1	0
1	39	1	0
1	40	0.9387	45.423
1	41	0.4604	430.13
1	42	0.8985	84.504
1	43	1	0
1	44	1.0781	-52.857
1	45	1	0
1	46	1	0
1	47	0.8346	119.67
1	48	1	0
1	49	1.2989	-162.6
1	50	0.8756	181.67
1	51	1.0845	24.847
1	52	1.1506	-38.866
1	53	0.4335	497.63
1	54	1.0865	39.694
1	55	1.0696	47.967
1	56	0.9772	111.32
1	57	1.1113	2.3216
1	58	1.3579	-164.86
1	59	1	0
1	60	1.0759	35.103
1	61	0.7798	238.58
1	62	1.1401	-32.487
1	63	1.1741	-56.809
1	64	1.0996	4.3094
1	65	0.8896	165.01
1	66	1.0674	35.979
1	67	1.0236	48.53
1	68	1.2104	-83.802
1	69	0.9706	87.633
1	70	1.1142	-31.381
1	71	1	0
1	72	0.956	91.889
1	73	1.1056	-16.887
1	74	1.0798	9.8672
1	75	1.1232	-10.748
1	76	1.1759	-55.043
1	77	0.9004	140.66
1	78	1.0102	45
1	79	1.0417	62.835
1	80	1.1792	-7.5874
1	81	1.2514	-57.567
1	82	1.1826	-15.581
1	83	0.9639	120.52
1	84	0.9411	123.42
1	85	1.0232	73.25
1	86	0.9761	108.78
1	87	1.1215	-10.421
1	88	1.1514	-20.714
1	89	1.0433	78.428
1	90	1.0445	81.814
1	91	1.0161	81.125
1	92	1.066	12.237
1	93	0.9583	93.537
1	94	0.9594	80.264
1	95	1	0
1	96	1.0759	-28.444
1	97	0.9586	66.847
1	98	1.0217	16.577
1	99	0.9507	50.825
1	100	0.8825	108.4
1	101	0.9099	88.924
1	102	1.0358	10.081
1	103	0.9489	58.082
1	104	0.9603	36.957
1	105	0.9883	26.885
1	106	1.0396	-3.8716
1	107	1.0221	23.028
1	108	0.9616	42.937
1	109	1.0269	-14.799
1	110	1	0
1	111	1.0139	-17.778
1	112	1.0846	-34.122
1	113	1.1202	-37.432
1	114	1.0891	1.3916
1	115	1.1204	-43.772
1	116	0.935	93.818
1	117	0.9604	61.209
1	118	1.0135	14.537
1	119	1.0328	11.383
1	120	1.089	-14.121
1	121	0.969	83.706
1	122	1.0104	50.202
1	123	1.1169	-25.197
1	124	1.042	48.776
1	125	1.1256	26.869
1	126	1.1643	35.867
1	127	1.1983	58.565
1	128	1.2802	36.946
1	129	1.2143	64.128
1	130	1.3327	-5.8843
1	131	1.1753	106.5
1	132	1.3009	-19.765
1	133	1.2417	30.834
1	134	1.2409	41.434
1	135	1.1759	84.915
1	136	1.3819	-61.774
1	137	1.3046	4.8789
1	138	1.4398	-63.054
1	139	1.2926	41.241
1	140	1.2661	89.972
1	141	1.4598	-38.839
1	142	1.4104	-33.563
1	143	1.411	-26.711
1	144	1.1641	111.35
1	145	1.4033	-75.311
1	146	1.1653	49.834
1	147	0.9638	174.74
1	148	1.2423	-22.508
1	149	1.3	-35.247
1	150	1.0619	114.47
1	151	1.3691	-149.24
1	152	1.1283	1.318
1	153	1.2077	-73.504
1	154	1.144	-49.244
1	155	1.221	-40.21
1	156	1.0327	50.965
1	157	1.0532	72.762
1	158	1.1784	27.915
1	159	1.2276	54.432
1	160	0.9855	231.1
1	161	1.3323	-12.188
1	162	1.2688	67.575
1	163	1.3869	-20.719
1	164	1.1381	129.45
1	165	1.2765	32.58
1	166	1.2264	38.982
1	167	0.9736	206.52
1	168	1.0987	107.28
1	169	1.1085	91.228
1	170	0.9204	218.92
1	171	0.7823	286.9
1	172	0.9045	182.83
1	173	0.8926	200.48
1	174	0.892	201.09
1	175	0.9535	167.33
1	176	1.2278	51.714
1	177	1.0619	149.99
1	178	1.0188	192.57
1	179	1.0895	161.86
1	180	1.0793	186.07
1	181	1.0676	185.68
1	182	1.0326	171.96
1	183	1.0168	173.73
1	184	0.97	197.43
1	185	0.977	180.32
1	186	0.9512	204.7
1	187	0.9566	215.63
1	188	0.9671	229.84
1	189	0.9834	241.29
1	190	1.0222	195.61
1	191	1	0
1	192	0.8804	181.24
1	193	0.9231	100.08
1	194	0.7954	197.7
1	195	0.7683	226.72
1	196	0.7266	256.41
1	197	1.2074	-151.73
1	198	1	0
1	199	1	0
1	200	1	0
1	201	1	0
1	202	1	0
1	203	1	0
1	204	1	0
1	205	1	0
1	206	1	0
1	207	1	0
1	208	1	0
1	209	1	0
1	210	1	0
1	211	1	0
1	212	1	0
1	213	1	0
1	214	1	0
1	215	1	0
1	216	1	0
1	217	1	0
1	218	1	0
1	219	1	0
1	220	1	0
1	221	1	0
1	222	1	0
1	223	1	0
